,GSM590840,GSM590842,GSM590848,GSM590850,GSM590851,GSM590852,GSM590853,GSM590855,GSM590858,GSM590860,GSM590862,GSM590864,GSM590867,GSM590869,GSM590870,GSM590871,GSM590873,GSM590874,GSM590877,GSM590879,GSM590880,GSM590884,GSM590885,GSM590886,GSM590889,GSM590890,GSM590894,GSM590896,GSM590898
AAMP,7.97550679554036,8.1247653234864,7.66210672949982,8.33886244943509,8.18202888401471,7.92485000071791,7.47633529295484,8.02572756062353,8.20021290022185,7.86905995609302,7.80137242978953,8.10655166697876,7.96279465588523,7.72404061799836,7.86889362093002,7.67619306808379,8.26490054904242,8.12417738857595,7.80806784222103,8.73568913471195,7.52771945257385,7.88569617031084,7.89356799743932,8.06568420679355,8.30053476456781,8.16489639029062,8.43768138769822,8.1853687910509,7.83582470092127
AANAT,4.79483103532755,4.36923856394874,4.33456725206456,4.41286194949347,4.5958292524772,4.94978540888522,4.31317545633227,4.50742145237871,4.32222944828921,4.51808956215359,4.70990814205229,4.40737105261376,5.12845166364738,4.69853619042587,5.20537863814184,4.58231852696735,4.47218247819522,4.55147613168781,4.53232398310249,4.51725332645362,4.42069686813178,4.55147613168781,4.84071588708449,4.53681296829708,4.4206950621075,4.62621614670532,4.73747134056452,4.51424434218466,4.90173007589154
AAR2,7.33547238622477,7.30647031079426,7.02217116612451,7.31779107545617,7.37361442439239,7.05394669427896,7.04408510561479,7.19138999183186,7.2941791328273,7.54020306983841,7.31361961609929,7.41336076178131,7.24244781572431,7.14837920787928,7.1667910888718,7.08418732587056,7.17829870325218,6.94540869757842,7.52890633714628,7.1746470010949,6.93341945333837,7.51077594560033,7.16317268188511,7.05019798832937,7.25220649926191,7.4085871794812,7.27443479762558,6.85703942342977,7.5387880274749
AARS1,7.7175317985848,8.49679779883789,8.72193655260657,8.25364604030166,8.34713374785649,8.47375552275501,7.94971263822733,8.11590169201692,9.36125205775612,8.10841855215627,8.88767639290187,8.64943767617995,8.06133901259334,8.37933949377064,7.93978262360361,8.48404722509455,8.50798875601436,8.48535032198304,8.2241750598768,8.84932512857727,8.10938092464423,8.2879635641479,8.2884400853688,8.37215905114977,8.9275150574037,9.16862327419625,9.14866556201313,9.15110574560779,8.2129528942805
AARSD1,5.60430027169166,5.52199588070312,5.52293632671032,5.38000958704369,5.34373923603316,5.18196359236637,5.426768072287,5.77876610537103,5.56287705920774,5.18339315709354,5.84002037990729,5.37710230960676,5.22676709502841,5.38699142671912,5.18710241328223,5.80104898662973,5.68068632334954,5.42984724488819,5.57098415578139,5.60571496851855,5.46342793712749,5.19511840255887,5.49051651536945,5.48444310520208,5.74292657879824,5.50864748423744,5.19034696552273,5.97253285845797,5.37115097920934
AASDHPPT,5.73457975045363,6.36756398280064,6.53048736133018,7.0067239199794,7.11125193443567,5.63166330447751,5.93818497845951,6.33158821954696,6.72283004077077,6.29290096657326,6.39184879581066,6.68625076639357,5.52101039961511,6.21315741639537,5.52712867969073,6.19601210892584,6.16756720202581,7.64848603644725,7.73616485931696,5.92339974155212,5.48698043914809,5.44964848205946,5.69535061215076,7.18788637030958,6.86644876147438,6.15075747255036,6.24915844887544,6.47199398278039,6.32280920917925
AASS,4.58280269799627,4.30944913927319,4.53580324370276,4.23067391130736,4.28446208919608,4.24297537908849,4.25418199804225,4.13233569662588,4.49886155595985,4.33332957628186,4.16513032216605,4.42064889771836,4.07195488055198,4.06562482606228,4.0304671578956,4.06232414640149,3.97452713484357,4.14135326363741,4.48726542335502,4.2619053880008,4.64587911045492,4.29011175845881,3.81450081238672,4.31618868164782,3.98301921340129,4.07838761923601,4.02371174091388,4.20338945531376,4.02850035723312
AATF,7.3803021307576,6.75489989507897,6.58611759445122,6.95255332874129,7.07936405153196,6.92420635400212,7.27970554718014,7.49711766371015,6.984303268616,7.43065907248143,7.16990663426333,6.82501378313879,7.12481918872075,7.08248197858427,6.84716198104829,7.12766934811297,7.7996598479135,6.74882130003142,7.36088738238121,7.12898798328725,6.56322014816358,6.33390480113762,7.33564559517002,7.32318983455913,7.59286304747676,7.40826768925517,7.52416249784692,7.59976939469757,7.06899061441892
AATK,7.33903107636837,7.02054072552688,6.97728292067535,6.99981165366786,7.17133689239384,7.37286052640067,6.93230311983502,6.65270423502711,6.89463816774104,7.30178136276228,6.97021161219059,6.70760194552698,7.03951675785422,6.87271395880745,7.2065639002697,7.19805001048825,6.63257106674682,6.59603753986396,6.71542112811656,7.12789306982135,7.16061310539171,7.83494930743875,6.90573663009105,6.77559909286926,6.69587611655818,6.80942750132108,6.96612395964056,6.78566838584296,6.67636100665573
ABAT,5.60148733808867,5.53348033947035,5.38641549652529,5.13954922588961,5.33228428093991,5.763078751224,5.46472322650937,5.51927578544614,5.19753727852082,5.37051119159853,5.29789979154015,5.16050138175628,5.35788249390887,5.3389468111087,5.64779914467889,5.53041060788273,4.97780078174688,5.40822496889867,4.99284087856655,5.42539283727001,5.40927099248777,5.77318367931516,5.22120849209965,5.22007806864611,5.39554170826679,5.29659686610739,5.15136712841595,5.16720578360647,5.53146312845738
ABCA1,6.27778843101594,5.88329710842366,5.79459167980399,5.73303548417278,6.25885142298011,5.77167033497172,5.93240202622531,5.53243134701688,5.79459167980399,5.77359174854718,6.0583401644922,5.47112543456554,6.0685074796214,5.75994615820786,5.71165957878161,6.65836718252835,5.6486872964333,5.64158867338484,5.12127127221742,5.69773340939208,6.58519370414138,5.8745695533438,6.13724749791156,6.19344318423745,5.8701091487433,5.57267703984612,6.20054902653474,5.93267478634434,5.71233534357099
ABCA11P,4.21039257848132,4.22207255572876,4.0304671578956,4.28532586458776,4.1560765419043,4.55840329157654,4.29039447460754,4.40698689165268,4.37882850357269,4.23557722000647,4.25670027875715,4.05766211394493,4.32264530139772,4.45686527837594,4.14391316805262,4.18026236943123,3.83565015934124,4.43595471440875,4.28427689237395,4.04601279227847,4.47200135916527,4.75843146445602,4.09513875808492,3.8832822152098,4.11484396774897,4.17302461110379,3.94384373381926,3.9890049600754,4.174825932494
ABCA12,4.15208624276547,3.57312464557978,3.56342657377339,3.61287374169534,3.59877488976581,3.54924760058836,3.63131389353932,3.67989371924242,3.60607312308729,3.8812854487678,3.72106882679298,3.61994650812645,4.11486333993388,3.79470715102993,3.53049671345168,3.72056835409832,3.71455128204004,3.49448162890114,3.62071710735804,3.65802927854477,3.57935305029936,3.47798590830346,3.63159591388403,3.70673903825602,3.66398918440985,3.72514826346715,3.56043631941545,3.40739411316671,5.44561110348284
ABCA2,7.03521080386891,5.75051630593421,6.11474350004925,6.24903595633012,5.77966076199406,6.09096021564786,5.95357361536612,5.63412645028323,5.95301071777511,6.06780262219166,6.10583766884039,6.07392423058506,6.00575061105535,5.58541168443786,5.44459172224495,6.18485983558287,5.73715590260706,5.68804879060066,6.26853612230914,5.95921049053968,5.89950897457949,6.09726390493688,6.09685861597223,5.90702944431547,5.8329697000796,5.85173387480566,5.82913811134877,5.4496973416719,5.84712381239061
ABCA3,6.50606791790183,5.61466870398629,6.58351684997137,5.63423288039282,6.55374729094571,5.64532956286721,5.67383383398522,5.5658105526781,5.69041021994038,5.86200482451885,5.97180601182857,6.99604381662082,6.28745305596687,6.02011587385703,6.24056470729983,6.54962750497442,5.84841924621741,5.54224666153071,5.66026278340103,5.85857661906516,5.32717442798921,5.48300549091604,5.83204030732887,5.7274034563761,5.54011124525874,6.23318148964903,5.97937111725602,7.01734193965731,6.38386953443338
ABCA4,5.76639009024988,5.95191332690008,5.19128993703678,5.6020379479905,5.26630371254284,5.34589705754484,6.36945831753626,5.50686394170896,5.44044667569691,5.37605953029936,5.23272539581669,5.12168945400403,4.90997960126825,5.33148154281993,5.05454340548076,5.60519183199335,5.73214411792661,5.11284010481755,5.23292851781804,4.96088637461541,5.0801262588245,4.8440752639861,5.15058075840306,5.9550528190199,5.03170168043783,5.08462306500063,4.91157540110295,5.16720578360647,5.11171301859121
ABCA5,4.4999088853916,4.49435615430984,4.70902000861803,4.27108161015758,4.43246207827285,4.2709262992384,4.55119866396336,4.41299471187221,4.23256401022254,4.39260760894934,4.62148580496282,4.30187300097454,4.73635492930458,4.31398769813849,4.88317308144648,4.7249552239532,5.12820666347787,4.2537245885626,3.71183180787124,4.62095025440624,4.85575584297766,4.17212280454232,4.51554014510848,4.15533042122724,4.26670659186698,4.19256088957812,4.14724265274064,4.50190963446185,4.1213861609205
ABCA6,4.32365594258455,4.07930007606579,3.96562170864422,3.99228131420112,4.23553501377313,4.10167393613446,4.51736013872654,4.06221596227208,3.98600860843708,4.3286165017456,4.02667370642739,4.09036706606648,4.13080874312495,3.97788663813956,4.1186754821245,4.28564027905037,3.82715029327597,3.95539211696752,3.71811582434709,4.12533925542725,4.02726054120882,4.12312670355263,3.96272612247471,3.84566704424222,3.89536886084059,4.00221817144551,3.97542858481172,3.66348294430171,3.90913282308761
